Timestamp,Note,Rating
2025-09-21T21:18:39Z,"poop #2000 on this app is a milestone, a privilege, and a sight to behold. truly a 5 star experience. my toddler walked in on me, looked at it, said, ""that's huge, Mommy"" and closed the door while maintaining eye contact with me as I sat vulnerably, waiting to wipe in peace. she has no idea how huge it is, both physically and metaphorically.",5.0
2025-09-20T19:38:00Z,"post shower, which is a bummer",4.0
2025-09-19T19:53:59Z,"wow, my breakfast didn't stand a chance",5.0
2025-09-18T17:53:54Z,delayed but gratifying,4.0
2025-09-17T16:39:28Z,"bribery is necessary to make my toddler poo, but for me, it's all free baby",4.0
2025-09-16T16:22:02Z,hearty and distracting ,4.0
2025-09-14T18:02:09Z,pooooooo,4.0
2025-09-13T16:17:52Z,"a post-bagel experience, probably could have spent more time",3.0
2025-09-12T18:56:38Z,"never believe yourself, if you think you are empty, for it is untrue",4.0
2025-09-12T14:58:35Z,there is nothing in me,4.0
2025-09-10T22:54:31Z,watched videos of lava lamps,3.0
2025-09-09T19:25:58Z,how is there more,4.0
2025-09-09T16:20:59Z,I almost didn't make it,4.0
2025-09-08T17:09:31Z,What would I do without childcare,5.0
2025-09-08T15:27:05Z,good bye my son mama needs 2 dump,4.0
2025-09-07T15:18:05Z,Nadia sang to me as I erupted and emptied,5.0
2025-09-06T16:35:35Z,"this was surprising, how could there be more?",4.0
2025-09-06T15:35:00Z,tea-induced ,3.0
2025-09-05T15:11:47Z,I am elevated,5.0
2025-09-04T02:27:34Z,a buildup to nothing,2.0
2025-09-02T15:47:36Z,"as my husband begged me for help, I silently ignored him and pushed. pushed. pushed.",4.0
2025-09-01T21:08:56Z,what a good cleanse,5.0
2025-08-31T18:47:15Z,"spicy? oh yeah, I had Mexican food",3.0
2025-08-30T16:17:59Z,my children? abandoned. my husband? overwhelmed. me? cleansed.,5.0
2025-08-29T16:21:35Z,here for my children but alas this cannot wait,4.0
2025-08-28T22:52:19Z,incredibly stressful as my toddler played with my nice camera from afar as I pooped,2.0
2025-08-27T13:14:14Z,the poop of a patriot,3.0
2025-08-25T20:57:54Z,I got my period again?????????,1.0
2025-08-24T14:46:46Z,my family needs me,4.0
2025-08-24T01:18:44Z,crummy,1.0
2025-08-23T20:35:04Z,I had to sprint to the can with reckless abandon,4.0
2025-08-21T23:06:11Z,very lame,1.0
2025-08-21T18:17:12Z,I am so tired,1.0
2025-08-20T17:43:43Z,I had to ignore all chaos to perform my own,3.0
2025-08-19T16:33:15Z,I had to entertain my toddler the entire time,2.0
2025-08-18T14:55:26Z,I feel lighter than air,4.0
2025-08-17T17:14:24Z,"nothing could stop this, nothing ",5.0
2025-08-13T15:00:00Z,I am so ill,2.0
2025-08-13T16:04:05Z,where did this come from,2.0
2025-08-12T14:21:22Z,woke me up,2.0
2025-08-11T20:12:31Z,where did this come from,3.0
2025-08-11T19:04:31Z,small and yet fulfilling,4.0
2025-08-11T16:26:23Z,good bye my son I must poo,5.0
2025-08-10T01:49:12Z,hot,4.0
2025-08-08T15:00:12Z,rush before meeting,4.0
2025-08-06T20:37:45Z,"eh, good, not great?",3.0
2025-08-06T15:44:28Z,had to pass off the baby for this,4.0
2025-08-05T17:06:42Z,it's like I didn't eat,4.0
2025-08-04T15:50:33Z,I am a hollow vessel,4.0
2025-08-03T00:48:01Z,bye bye bod,3.0
2025-08-02T16:25:23Z,rather small,3.0
2025-08-01T14:45:42Z,wow I have nothing left,4.0
2025-07-31T00:50:38Z,steady flow,5.0
2025-07-29T20:47:34Z,trying to get the toddler to poo and I did instead ,3.0
2025-07-28T22:44:24Z,toddler watched,3.0
2025-07-28T14:24:52Z,I did what I had to do,3.0
2025-07-27T16:17:59Z,large,4.0
2025-07-27T02:06:31Z,wow I am so empty,5.0
2025-07-25T19:12:14Z,"this was good, I needed a win",5.0
2025-07-25T17:29:38Z,solid,4.0
2025-07-22T19:29:04Z,not a fan but it happened,3.0
2025-07-21T21:40:51Z,am I sick ,2.0
2025-07-21T19:56:51Z,huge with a toddler watching the whole time,3.0
2025-07-21T17:57:34Z,took a couple tries to nail it,4.0
2025-07-20T17:14:54Z,I'm exhausted,5.0
2025-07-18T18:15:15Z,it took a minute to brew but arrived like a tidal wave,4.0
2025-07-16T18:46:35Z,my meals are gone,3.0
2025-07-15T19:38:36Z,how worthless. how insulting.,1.0
2025-07-15T17:32:10Z,I am empty,4.0
2025-07-13T16:30:18Z,bad,1.0
2025-07-13T15:42:12Z,incredibly bad,1.0
2025-07-13T02:32:00Z,I don't think I'm sick but hmm,3.0
2025-07-13T00:30:00Z,hmm doesn't feel good,2.0
2025-07-11T16:39:26Z,I'm a new woman,5.0
2025-07-10T19:52:42Z,why nap when you can poop,4.0
2025-07-10T01:54:35Z,evening surprise,3.0
2025-07-09T15:42:51Z,wow this was hearty,4.0
2025-07-07T19:15:48Z,I abandoned my children for this,5.0
2025-07-06T13:10:23Z,"I let Nadia roam as I went, this may be a poor choice",4.0
2025-07-03T23:36:23Z,massive,4.0
2025-07-02T15:25:16Z,period poo,4.0
2025-07-02T13:47:35Z,"mmm, could be better",2.0
2025-06-30T17:10:12Z,far too solid,3.0
2025-06-29T14:10:29Z,my toddler watched,2.0
2025-06-27T20:02:16Z,wow my tummy hurt,3.0
2025-06-27T18:26:55Z,really didn't love the texture but it was quick and voluminous,4.0
2025-06-26T20:54:53Z,"quite large, and solid. I need to mix it up.",3.0
2025-06-24T15:48:29Z,sputtered out,4.0
2025-06-23T15:41:36Z,wow this was very rapid,4.0
